M,N,K,latency_ns
16,128,256,20480.00
16,128,512,20480.00
16,128,1024,24576.00
16,128,2048,25600.00
16,128,3072,24576.00
16,128,4096,23552.00
16,128,5120,23552.00
16,128,8192,24064.00
16,128,11008,24576.00
16,128,13824,24576.00
16,128,14336,24576.00
16,128,25600,24576.00
16,128,27648,24576.00
16,128,28672,24576.00
16,256,128,20480.00
16,256,256,20480.00
16,256,512,20480.00
16,256,1024,21504.00
16,256,2048,25600.00
16,256,3072,23552.00
16,256,4096,23552.00
16,256,5120,23552.00
16,256,8192,23552.00
16,256,11008,24576.00
16,256,13824,24576.00
16,256,14336,24576.00
16,256,25600,24576.00
16,256,27648,24576.00
16,256,28672,24576.00
16,512,128,20480.00
16,512,256,21504.00
16,512,512,20480.00
16,512,1024,24576.00
16,512,2048,25600.00
16,512,3072,23552.00
16,512,4096,23552.00
16,512,5120,23552.00
16,512,8192,23552.00
16,512,11008,23552.00
16,512,13824,23552.00
16,512,14336,23552.00
16,512,25600,28672.00
16,512,27648,28672.00
16,512,28672,33792.00
16,1024,128,21504.00
16,1024,256,21504.00
16,1024,512,21504.00
16,1024,1024,24576.00
16,1024,2048,25600.00
16,1024,3072,24576.00
16,1024,4096,23552.00
16,1024,5120,23552.00
16,1024,8192,25600.00
16,1024,11008,28672.00
16,1024,13824,30720.00
16,1024,14336,31744.00
16,1024,25600,55296.00
16,1024,27648,59392.00
16,1024,28672,59392.00
16,2048,128,21504.00
16,2048,256,21504.00
16,2048,512,20480.00
16,2048,1024,20480.00
16,2048,2048,23552.00
16,2048,3072,23552.00
16,2048,4096,24576.00
16,2048,5120,26624.00
16,2048,8192,37888.00
16,2048,11008,50176.00
16,2048,13824,58368.00
16,2048,14336,58368.00
16,2048,25600,94720.00
16,2048,27648,100352.00
16,2048,28672,103424.00
16,3072,128,21504.00
16,3072,256,21504.00
16,3072,512,20480.00
16,3072,1024,20480.00
16,3072,2048,25600.00
16,3072,3072,25600.00
16,3072,4096,25600.00
16,3072,5120,30720.00
16,3072,8192,54272.00
16,3072,11008,65536.00
16,3072,13824,78848.00
16,3072,14336,80896.00
16,3072,25600,131072.00
16,3072,27648,140288.00
16,3072,28672,144896.00
16,4096,128,21504.00
16,4096,256,20480.00
16,4096,512,20480.00
16,4096,1024,20480.00
16,4096,2048,23552.00
16,4096,3072,25600.00
16,4096,4096,33792.00
16,4096,5120,49152.00
16,4096,8192,66560.00
16,4096,11008,82944.00
16,4096,13824,99328.00
16,4096,14336,102400.00
16,4096,25600,168960.01
16,4096,27648,181247.99
16,4096,28672,187392.00
16,5120,128,21504.00
16,5120,256,20480.00
16,5120,512,20992.00
16,5120,1024,21504.00
16,5120,2048,23552.00
16,5120,3072,27648.00
16,5120,4096,44032.00
16,5120,5120,57344.00
16,5120,8192,78848.00
16,5120,11008,99328.00
16,5120,13824,118784.00
16,5120,14336,122880.00
16,5120,25600,206336.00
16,5120,27648,221184.00
16,5120,28672,229376.00
16,8192,128,21504.00
16,8192,256,20480.00
16,8192,512,21504.00
16,8192,1024,21504.00
16,8192,2048,34816.00
16,8192,3072,49152.00
16,8192,4096,61440.00
16,8192,5120,74752.00
16,8192,8192,110592.00
16,8192,11008,144384.00
16,8192,13824,178176.00
16,8192,14336,184320.00
16,8192,25600,319487.99
16,8192,27648,342016.01
16,8192,28672,354815.99
16,11008,128,21504.00
16,11008,256,20480.00
16,11008,512,20480.00
16,11008,1024,21504.00
16,11008,2048,46080.00
16,11008,3072,62976.00
16,11008,4096,78848.00
16,11008,5120,94208.00
16,11008,8192,144384.00
16,11008,11008,190464.00
16,11008,13824,235520.01
16,11008,14336,243711.99
16,11008,25600,416768.01
16,11008,27648,449536.00
16,11008,28672,462848.01
16,13824,128,22528.00
16,13824,256,20480.00
16,13824,512,20480.00
16,13824,1024,23552.00
16,13824,2048,55296.00
16,13824,3072,74752.00
16,13824,4096,94208.00
16,13824,5120,113664.00
16,13824,8192,177151.99
16,13824,11008,235520.01
16,13824,13824,288767.99
16,13824,14336,298496.01
16,13824,25600,521215.98
16,13824,27648,560127.97
16,13824,28672,579584.00
16,14336,128,20992.00
16,14336,256,21504.00
16,14336,512,22528.00
16,14336,1024,28672.00
16,14336,2048,56320.00
16,14336,3072,78848.00
16,14336,4096,100352.00
16,14336,5120,120832.00
16,14336,8192,186368.00
16,14336,11008,243711.99
16,14336,13824,303104.01
16,14336,14336,313344.00
16,14336,25600,547840.00
16,14336,27648,589312.02
16,14336,28672,610816.00
16,25600,128,22528.00
16,25600,256,21504.00
16,25600,512,22528.00
16,25600,1024,54272.00
16,25600,2048,90112.00
16,25600,3072,125952.01
16,25600,4096,161792.00
16,25600,5120,197632.00
16,25600,8192,324608.00
16,25600,11008,424448.00
16,25600,13824,525312.01
16,25600,14336,543232.02
16,25600,25600,942080.02
16,25600,27648,1014783.98
16,25600,28672,1050624.01
16,27648,128,21504.00
16,27648,256,20480.00
16,27648,512,23552.00
16,27648,1024,57344.00
16,27648,2048,95232.00
16,27648,3072,134143.99
16,27648,4096,173056.01
16,27648,5120,231424.00
16,27648,8192,348160.00
16,27648,11008,456192.00
16,27648,13824,565248.01
16,27648,14336,585215.99
16,27648,25600,1016831.99
16,27648,27648,1094655.99
16,27648,28672,1133056.04
16,28672,128,21504.00
16,28672,256,22528.00
16,28672,512,27648.00
16,28672,1024,66560.00
16,28672,2048,103424.00
16,28672,3072,151552.01
16,28672,4096,199680.00
16,28672,5120,245759.99
16,28672,8192,365568.01
16,28672,11008,481280.00
16,28672,13824,583680.00
16,28672,14336,603136.00
16,28672,25600,1052672.03
16,28672,27648,1128448.01
16,28672,28672,1166336.06
32,128,128,21504.00
32,128,256,23552.00
32,128,512,22016.00
32,128,1024,23552.00
32,128,2048,23552.00
32,128,3072,24576.00
32,128,4096,23552.00
32,128,5120,23552.00
32,128,8192,23552.00
32,128,11008,23552.00
32,128,13824,23552.00
32,128,14336,24576.00
32,128,25600,23552.00
32,128,27648,23552.00
32,128,28672,23552.00
32,256,128,21504.00
32,256,256,25600.00
32,256,512,20480.00
32,256,1024,23552.00
32,256,2048,23552.00
32,256,3072,23552.00
32,256,4096,23552.00
32,256,5120,24576.00
32,256,8192,24576.00
32,256,11008,24576.00
32,256,13824,24576.00
32,256,14336,24576.00
32,256,25600,25600.00
32,256,27648,26624.00
32,256,28672,26624.00
32,512,128,24576.00
32,512,256,25600.00
32,512,512,21504.00
32,512,1024,20992.00
32,512,2048,25600.00
32,512,3072,23552.00
32,512,4096,23552.00
32,512,5120,23552.00
32,512,8192,23552.00
32,512,11008,23552.00
32,512,13824,23552.00
32,512,14336,24576.00
32,512,25600,27648.00
32,512,27648,32768.00
32,512,28672,35840.00
32,1024,128,25600.00
32,1024,256,25600.00
32,1024,512,24576.00
32,1024,1024,20992.00
32,1024,2048,23552.00
32,1024,3072,23552.00
32,1024,4096,23552.00
32,1024,5120,23552.00
32,1024,8192,23552.00
32,1024,11008,25600.00
32,1024,13824,28672.00
32,1024,14336,30720.00
32,1024,25600,56320.00
32,1024,27648,59392.00
32,1024,28672,61440.00
32,2048,128,25600.00
32,2048,256,24576.00
32,2048,512,24576.00
32,2048,1024,20992.00
32,2048,2048,23552.00
32,2048,3072,23552.00
32,2048,4096,24576.00
32,2048,5120,25600.00
32,2048,8192,39424.00
32,2048,11008,51200.00
32,2048,13824,58368.00
32,2048,14336,59392.00
32,2048,25600,93184.00
32,2048,27648,101376.00
32,2048,28672,104448.00
32,3072,128,21504.00
32,3072,256,21504.00
32,3072,512,20992.00
32,3072,1024,21504.00
32,3072,2048,22528.00
32,3072,3072,24576.00
32,3072,4096,26624.00
32,3072,5120,32768.00
32,3072,8192,54272.00
32,3072,11008,65536.00
32,3072,13824,79872.00
32,3072,14336,81920.00
32,3072,25600,132095.99
32,3072,27648,140800.00
32,3072,28672,145408.00
32,4096,128,21504.00
32,4096,256,20480.00
32,4096,512,20480.00
32,4096,1024,20992.00
32,4096,2048,22016.00
32,4096,3072,25600.00
32,4096,4096,34816.00
32,4096,5120,44032.00
32,4096,8192,61440.00
32,4096,11008,82944.00
32,4096,13824,99328.00
32,4096,14336,101888.00
32,4096,25600,164864.00
32,4096,27648,178176.00
32,4096,28672,184320.00
