M,N,K,latency_ns
16,14336,25600,255983.99
16,14336,27648,274640.01
16,14336,28672,283248.01
16,25600,128,14816.00
16,25600,256,15632.00
16,25600,512,16896.00
16,25600,1024,30224.00
16,25600,2048,46432.00
16,25600,3072,63296.00
16,25600,4096,79616.00
16,25600,5120,96416.00
16,25600,8192,150960.00
16,25600,11008,207264.00
16,25600,13824,250112.00
16,25600,14336,258000.00
16,25600,25600,444800.00
16,25600,27648,468352.00
16,25600,28672,490016.00
16,27648,128,15248.00
16,27648,256,15792.00
16,27648,512,17552.00
16,27648,1024,31072.00
16,27648,2048,48416.00
16,27648,3072,66464.00
16,27648,4096,83248.00
16,27648,5120,101392.00
16,27648,8192,158880.00
16,27648,11008,208864.00
16,27648,13824,265199.99
16,27648,14336,274400.00
16,27648,25600,470687.99
16,27648,27648,505376.01
16,27648,28672,523216.01
16,28672,128,14832.00
16,28672,256,15712.00
16,28672,512,17568.00
16,28672,1024,32656.00
16,28672,2048,50608.00
16,28672,3072,69632.00
16,28672,4096,88352.00
16,28672,5120,108240.00
16,28672,8192,164464.00
16,28672,11008,214576.00
16,28672,13824,277872.00
16,28672,14336,280240.00
16,28672,25600,496048.00
16,28672,27648,532512.01
16,28672,28672,549696.00
32,128,128,14896.00
32,128,256,14784.00
32,128,512,14848.00
32,128,1024,14736.00
32,128,2048,15648.00
32,128,3072,16992.00
32,128,4096,16928.00
32,128,5120,17024.00
32,128,8192,17104.00
32,128,11008,17136.00
32,128,13824,17072.00
32,128,14336,16992.00
32,128,25600,17520.00
32,128,27648,17408.00
32,128,28672,17024.00
32,256,128,14896.00
32,256,256,14992.00
32,256,512,14832.00
32,256,1024,14848.00
32,256,2048,15712.00
32,256,3072,16960.00
32,256,4096,16896.00
32,256,5120,16896.00
32,256,8192,17120.00
32,256,11008,16896.00
32,256,13824,16960.00
32,256,14336,17120.00
32,256,25600,17568.00
32,256,27648,17552.00
32,256,28672,17728.00
32,512,128,15024.00
32,512,256,15024.00
32,512,512,15008.00
32,512,1024,14864.00
32,512,2048,15616.00
32,512,3072,16928.00
32,512,4096,16896.00
32,512,5120,17056.00
32,512,8192,16880.00
32,512,11008,16864.00
32,512,13824,17552.00
32,512,14336,17440.00
32,512,25600,19040.00
32,512,27648,19632.00
32,512,28672,19680.00
32,1024,128,14784.00
32,1024,256,14656.00
32,1024,512,14640.00
32,1024,1024,14832.00
32,1024,2048,15648.00
32,1024,3072,16816.00
32,1024,4096,16848.00
32,1024,5120,16880.00
32,1024,8192,17696.00
32,1024,11008,17952.00
32,1024,13824,19600.00
32,1024,14336,19120.00
32,1024,25600,32192.00
32,1024,27648,33504.00
32,1024,28672,34112.00
32,2048,128,15008.00
32,2048,256,14800.00
32,2048,512,14912.00
32,2048,1024,14752.00
32,2048,2048,15680.00
32,2048,3072,17056.00
32,2048,4096,17600.00
32,2048,5120,17808.00
32,2048,8192,20032.00
32,2048,11008,28848.00
32,2048,13824,33120.00
32,2048,14336,33792.00
32,2048,25600,48464.00
32,2048,27648,50768.00
32,2048,28672,52256.00
32,3072,128,14816.00
32,3072,256,14816.00
32,3072,512,14928.00
32,3072,1024,14768.00
32,3072,2048,15808.00
32,3072,3072,17056.00
32,3072,4096,19248.00
32,3072,5120,20416.00
32,3072,8192,32528.00
32,3072,11008,38240.00
32,3072,13824,43328.00
32,3072,14336,44416.00
32,3072,25600,66448.00
32,3072,27648,70624.00
32,3072,28672,73008.00
32,4096,128,14640.00
32,4096,256,14704.00
32,4096,512,14720.00
32,4096,1024,14752.00
32,4096,2048,15648.00
32,4096,3072,17168.00
32,4096,4096,18896.00
32,4096,5120,23120.00
32,4096,8192,36384.00
32,4096,11008,43744.00
32,4096,13824,50624.00
32,4096,14336,52576.00
32,4096,25600,83024.00
32,4096,27648,88864.00
32,4096,28672,90896.00
32,5120,128,15088.00
32,5120,256,14960.00
32,5120,512,14960.00
32,5120,1024,15152.00
32,5120,2048,16384.00
32,5120,3072,18416.00
32,5120,4096,23856.00
32,5120,5120,30128.00
32,5120,8192,42592.00
32,5120,11008,52144.00
32,5120,13824,60944.00
32,5120,14336,62912.00
32,5120,25600,100336.00
32,5120,27648,106736.00
32,5120,28672,111904.00
32,8192,128,14768.00
32,8192,256,14720.00
32,8192,512,14656.00
32,8192,1024,15648.00
32,8192,2048,18672.00
32,8192,3072,29136.00
32,8192,4096,34736.00
32,8192,5120,39968.00
32,8192,8192,55264.00
32,8192,11008,70640.00
32,8192,13824,84128.00
32,8192,14336,87056.00
32,8192,25600,148816.00
32,8192,27648,159807.99
32,8192,28672,164976.00
32,11008,128,14752.00
32,11008,256,14784.00
32,11008,512,14992.00
32,11008,1024,16560.00
32,11008,2048,26048.00
32,11008,3072,34288.00
32,11008,4096,43600.00
32,11008,5120,52064.00
32,11008,8192,79744.00
32,11008,11008,99296.00
32,11008,13824,118960.00
32,11008,14336,122096.00
32,11008,25600,202208.00
32,11008,27648,215072.01
32,11008,28672,226560.00
32,13824,128,14944.00
32,13824,256,14784.00
32,13824,512,15600.00
32,13824,1024,17632.00
32,13824,2048,31296.00
32,13824,3072,39744.00
32,13824,4096,48640.00
32,13824,5120,57248.00
32,13824,8192,86512.00
32,13824,11008,111216.00
32,13824,13824,145456.00
32,13824,14336,149760.00
32,13824,25600,250368.01
32,13824,27648,270752.00
32,13824,28672,276944.00
