32,11,8,8,8,os,175,25.143
16,21,8,8,8,os,131,32.061
16,11,16,8,8,os,119,36.975
8,21,8,8,8,os,65,32.308
8,21,4,8,8,os,53,19.811
32,11,4,8,8,os,143,15.385
32,11,2,8,8,os,127,8.661
16,21,4,8,8,os,107,19.626
16,21,2,8,8,os,95,11.053
16,11,8,8,8,os,87,25.287
16,11,4,8,8,os,71,15.493
32,21,1,8,8,os,179,5.866
8,21,2,8,8,os,47,11.170
32,11,1,8,8,os,119,4.622
16,21,1,8,8,os,89,5.899
16,11,2,8,8,os,63,8.730
16,21,76,8,8,os,539,74.026
64,11,38,8,8,os,831,50.301
32,21,38,8,8,os,623,64.045
32,11,76,8,8,os,719,58.136
64,21,19,8,8,os,791,50.442
16,21,12,8,8,os,155,40.645
64,11,6,8,8,os,319,20.690
32,21,6,8,8,os,239,26.360
32,11,12,8,8,os,207,31.884
64,21,3,8,8,os,407,15.479
64,6,12,8,8,os,207,34.783
64,6,32,8,8,os,367,52.316
64,6,16,8,8,os,239,40.167
64,6,8,8,8,os,175,27.429
64,6,4,8,8,os,143,16.783
64,11,1,8,8,os,239,4.603
64,6,2,8,8,os,127,9.449
32,85,12,8,8,os,1143,44.619
64,85,6,8,8,os,1759,28.994
128,85,3,8,8,os,2991,17.051
32,85,8,8,8,os,967,35.160
32,85,4,8,8,os,791,21.492
128,43,4,8,8,os,1727,19.919
128,43,2,8,8,os,1535,11.205
64,85,4,8,8,os,1583,21.478
64,85,2,8,8,os,1407,12.082
64,43,8,8,8,os,1055,32.607
64,43,4,8,8,os,863,19.930
128,85,2,8,8,os,2815,12.078
128,85,1,8,8,os,2639,6.442
128,22,8,8,8,os,1055,33.365
128,22,4,8,8,os,863,20.394
32,85,2,8,8,os,703,12.091
128,43,1,8,8,os,1439,5.976
64,85,1,8,8,os,1319,6.444
64,43,2,8,8,os,767,11.213
128,22,2,8,8,os,767,11.473
1,11,256,8,8,os,539,8.163
1,6,256,8,8,os,269,8.922
1,6,128,8,8,os,141,8.511
1,6,64,8,8,os,77,7.792
1,6,32,8,8,os,45,6.667
1,6,16,8,8,os,29,5.172
1,6,8,8,8,os,21,3.571
1,11,2,8,8,os,31,1.109
1,21,1,8,8,os,44,0.746
1,6,4,8,8,os,17,2.206
1,85,32,8,8,os,505,8.416
1,43,16,8,8,os,179,6.006
1,85,16,8,8,os,329,6.459
1,43,32,8,8,os,275,7.818
1,85,8,8,8,os,241,4.409
1,22,32,8,8,os,137,8.029
1,43,8,8,8,os,131,4.103
1,85,4,8,8,os,197,2.697
1,22,16,8,8,os,89,6.180
1,43,4,8,8,os,107,2.512
1,85,2,8,8,os,175,1.518
1,22,8,8,8,os,65,4.231
1,43,2,8,8,os,95,1.414
1,85,1,8,8,os,164,0.810
1,22,4,8,8,os,53,2.594
