"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","dram__bytes_read.sum","dram__bytes_write.sum","gpu__time_duration.avg"
"","","","","","","","","","","","Mbyte","Mbyte","us"
"1199","3625558","python3.13","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::bfloat16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.0","0.009216","0.000000","3.744000"
"1200","3625558","python3.13","127.0.0.1","void at::vectorized_elementwise_kernel<4, at::FillFunctor<c10::BFloat16>, std::array<char *, 1>>(int, T2, T3)","1","7","(128, 1, 1)","(2048, 1, 1)","0","8.0","0.003968","0.000000","5.792000"
"1201","3625558","python3.13","127.0.0.1","void at::vectorized_elementwise_kernel<2, at::FillFunctor<long>, std::array<char *, 1>>(int, T2, T3)","1","7","(128, 1, 1)","(8, 1, 1)","0","8.0","0.004224","0.000000","3.040000"
"1202","3625558","python3.13","127.0.0.1","void at::_scatter_gather_elementwise_kernel<128, 8, void at::_cuda_scatter_fill_internal_kernel<at::OpaqueType<8>, long>::operator ()<at::TensorAssign>(at::TensorIterator &, at::OpaqueType<8>, long, long, long, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.0","0.046464","0.000000","10.752000"
"1203","3625558","python3.13","127.0.0.1","void at::reduce_kernel<128, 4, at::ReduceOp<long, at::func_wrapper_t<long, at::sum_functor<long, long, long>::operator ()(at::TensorIterator &)::[lambda(long, long) (instance 1)]>, unsigned int, long, 4, 4>>(T3)","1","7","(2, 64, 1)","(1, 1, 1)","0","8.0","0.135296","0.000000","12.416000"
"1204","3625558","python3.13","127.0.0.1","void at::vectorized_elementwise_kernel<4, void at::compare_scalar_kernel<long>(at::TensorIteratorBase &, at::<unnamed>::OpType, T1)::[lambda(long) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.0","0.008960","0.000000","4.128000"
"1205","3625558","python3.13","127.0.0.1","void at_cuda_detail::DeviceReduceSingleTileKernel<at_cuda_detail::DeviceReducePolicy<int, unsigned long long, __4::plus<void>>::Policy600, at_cuda_detail::TransformInputIterator<bool, at::<unnamed>::NonZeroOp<bool>, const bool *, long>, int *, unsigned long long, __4::plus<void>, int, int, __4::__identity>(T2, T3, T4, T5, T6, T8)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.0","0.012672","0.000000","3.840000"
"1206","3625558","python3.13","127.0.0.1","void at_cuda_detail::DeviceCompactInitKernel<at_cuda_detail::ScanTileState<int, 1>, int *>(T1, int, T2)","1","7","(128, 1, 1)","(1, 1, 1)","0","8.0","0.002688","0.000000","2.912000"
"1207","3625558","python3.13","127.0.0.1","void at_cuda_detail::DeviceSelectSweepKernel<at_cuda_detail::device_select_policy_hub<long, bool, int, 0, 0>::Policy900, at_cuda_detail::CountingInputIterator<long, long>, at_cuda_detail::TransformInputIterator<bool, at::<unnamed>::NonZeroOp<bool>, const bool *, long>, long *, int *, at_cuda_detail::ScanTileState<int, 1>, at_cuda_detail::NullType, at_cuda_detail::NullType, int, 0, 0>(T2, T3, T4, T5, T6, T7, T8, T9, int, at_cuda_detail::vsmem_t)","1","7","(384, 1, 1)","(1, 1, 1)","0","8.0","0.030720","0.000000","4.544000"
"1208","3625558","python3.13","127.0.0.1","void at::index_elementwise_kernel<128, 4, void at::gpu_index_kernel<void at::index_kernel_impl<at::OpaqueType<8>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)","1","7","(128, 1, 1)","(2, 1, 1)","0","8.0","0.108416","0.000000","10.016000"
