M,N,K,measured_ms
2.0,6144.0,5120.0,0.038432
2.0,6144.0,6144.0,0.042304
2.0,6144.0,7168.0,0.04608
2.0,6144.0,8192.0,0.050528
2.0,6144.0,10240.0,0.058656
2.0,6144.0,12288.0,0.06624
2.0,6144.0,14336.0,0.07504
2.0,6144.0,16384.0,0.082976
2.0,6816.0,5120.0,0.06522
2.0,7168.0,1024.0,0.018016
2.0,7168.0,2048.0,0.019616
2.0,7168.0,2880.0,0.023456
2.0,7168.0,3072.0,0.027392
2.0,7168.0,3584.0,0.0655
2.0,7168.0,4096.0,0.033024
2.0,7168.0,5120.0,0.041632
2.0,7168.0,6144.0,0.04608
2.0,7168.0,7168.0,0.05418
2.0,7168.0,8192.0,0.056544
2.0,7168.0,10240.0,0.065696
2.0,7168.0,12288.0,0.076672
2.0,7168.0,14336.0,0.085856
2.0,7168.0,16384.0,0.09552
2.0,7168.0,20480.0,0.05354
2.0,8192.0,1024.0,0.01792
2.0,8192.0,2048.0,0.019488
2.0,8192.0,2880.0,0.028992
2.0,8192.0,3072.0,0.029856
2.0,8192.0,3584.0,0.032544
2.0,8192.0,4096.0,0.035008
2.0,8192.0,5120.0,0.04016
2.0,8192.0,6144.0,0.045632
2.0,8192.0,7168.0,0.05104
2.0,8192.0,8192.0,0.05414
2.0,8192.0,10240.0,0.06688
2.0,8192.0,12288.0,0.077824
2.0,8192.0,14336.0,0.087744
2.0,8192.0,16384.0,0.09872
2.0,8192.0,28672.0,0.0546899999999999
2.0,8192.0,29568.0,0.10381
2.0,9216.0,7168.0,0.10384
2.0,10240.0,1024.0,0.018048
2.0,10240.0,2048.0,0.024576
2.0,10240.0,2880.0,0.033312
2.0,10240.0,3072.0,0.03456
2.0,10240.0,3584.0,0.037664
2.0,10240.0,4096.0,0.040672
2.0,10240.0,5120.0,0.04736
2.0,10240.0,6144.0,0.054208
2.0,10240.0,7168.0,0.061216
2.0,10240.0,8192.0,0.10352
2.0,10240.0,10240.0,0.080768
2.0,10240.0,12288.0,0.094976
2.0,10240.0,14336.0,0.10832
2.0,10240.0,16384.0,0.121632
2.0,12288.0,1024.0,0.018944
2.0,12288.0,2048.0,0.030592
2.0,12288.0,2880.0,0.03744
2.0,12288.0,3072.0,0.037984
2.0,12288.0,3584.0,0.042656
2.0,12288.0,4096.0,0.10342
2.0,12288.0,5120.0,0.054176
2.0,12288.0,6144.0,0.062368
2.0,12288.0,7168.0,0.069728
2.0,12288.0,8192.0,0.080256
2.0,12288.0,10240.0,0.096448
2.0,12288.0,12288.0,0.10976
2.0,12288.0,14336.0,0.131296
2.0,12288.0,16384.0,0.147552
2.0,12800.0,4096.0,0.15619
2.0,14336.0,1024.0,0.019424
2.0,14336.0,2048.0,0.034944
2.0,14336.0,2880.0,0.043616
2.0,14336.0,3072.0,0.044544
2.0,14336.0,3584.0,0.1561
2.0,14336.0,4096.0,0.09594
2.0,14336.0,5120.0,0.0656
2.0,14336.0,6144.0,0.075072
2.0,14336.0,7168.0,0.085792
2.0,14336.0,8192.0,0.097056
2.0,14336.0,10240.0,0.11616
2.0,14336.0,12288.0,0.136864
2.0,14336.0,14336.0,0.156992
2.0,14336.0,16384.0,0.183488
2.0,16384.0,1024.0,0.019264
2.0,16384.0,2048.0,0.035136
2.0,16384.0,2880.0,0.043264
2.0,16384.0,3072.0,0.045216
2.0,16384.0,3584.0,0.050368
2.0,16384.0,4096.0,0.055904
2.0,16384.0,5120.0,0.066208
2.0,16384.0,6144.0,0.076768
2.0,16384.0,7168.0,0.087072
2.0,16384.0,8192.0,0.097696
2.0,16384.0,10240.0,0.118112
2.0,16384.0,12288.0,0.138688
2.0,16384.0,14336.0,0.160128
2.0,16384.0,16384.0,0.1808
2.0,17408.0,5120.0,0.09606
2.0,18944.0,3584.0,0.31651
2.0,20480.0,1024.0,0.025024
2.0,20480.0,2048.0,0.041088
2.0,20480.0,2880.0,0.051968
2.0,20480.0,3072.0,0.054496
2.0,20480.0,3584.0,0.061408
2.0,20480.0,4096.0,0.067776
2.0,20480.0,5120.0,0.081728
2.0,20480.0,6144.0,0.094816
2.0,20480.0,7168.0,0.35504
2.0,20480.0,8192.0,0.121952
2.0,20480.0,10240.0,0.14848
2.0,20480.0,12288.0,0.175296
2.0,20480.0,14336.0,0.202496
2.0,20480.0,16384.0,0.228896
2.0,28672.0,1024.0,0.034112
2.0,28672.0,2048.0,0.050976
2.0,28672.0,2880.0,0.065984
2.0,28672.0,3072.0,0.06944
2.0,28672.0,3584.0,0.078656
2.0,28672.0,4096.0,0.087808
2.0,28672.0,5120.0,0.10784
2.0,28672.0,6144.0,0.125632
2.0,28672.0,7168.0,0.144256
2.0,28672.0,8192.0,0.25718
2.0,28672.0,10240.0,0.198336
2.0,28672.0,12288.0,0.236032
2.0,28672.0,14336.0,0.274176
2.0,28672.0,16384.0,0.312096
2.0,29568.0,8192.0,0.25683
2.0,32000.0,4096.0,0.3610899999999999
2.0,32768.0,1024.0,0.035456
2.0,32768.0,2048.0,0.055776
2.0,32768.0,2880.0,0.072736
2.0,32768.0,3072.0,0.076928
2.0,32768.0,3584.0,0.087072
2.0,32768.0,4096.0,0.09744
2.0,32768.0,5120.0,0.11792
2.0,32768.0,6144.0,0.138656
2.0,32768.0,7168.0,0.159584
2.0,32768.0,8192.0,0.179552
2.0,32768.0,10240.0,0.221504
2.0,32768.0,12288.0,0.263104
2.0,32768.0,14336.0,0.3048
2.0,32768.0,16384.0,0.346112
2.0,49155.0,4096.0,0.8222999999999999
2.0,64000.0,7168.0,0.8225
2.0,128256.0,4096.0,0.67338
2.0,128256.0,8192.0,0.6738200000000001
2.0,131072.0,2880.0,0.84045
2.0,152064.0,3584.0,0.84016
2.0,152064.0,8192.0,0.60346
2.0,248320.0,4096.0,0.60275
2.0,248320.0,5120.0,0.01139
2.0,256000.0,3584.0,0.01142
4.0,1024.0,1024.0,0.017824
4.0,1024.0,2048.0,0.018176
4.0,1024.0,2880.0,0.020448
4.0,1024.0,3072.0,0.020352
4.0,1024.0,3584.0,0.020672
4.0,1024.0,4096.0,0.020416
4.0,1024.0,5120.0,0.020224
4.0,1024.0,6144.0,0.02032
4.0,1024.0,7168.0,0.020768
4.0,1024.0,8192.0,0.020672
4.0,1024.0,10240.0,0.021344
4.0,1024.0,12288.0,0.0216
4.0,1024.0,14336.0,0.022464
4.0,1024.0,16384.0,0.02304
4.0,2048.0,1024.0,0.017696
4.0,2048.0,2048.0,0.017888
4.0,2048.0,2880.0,0.020224
4.0,2048.0,3072.0,0.020032
4.0,2048.0,3584.0,0.02032
4.0,2048.0,4096.0,0.020736
4.0,2048.0,5120.0,0.021088
4.0,2048.0,6144.0,0.021504
4.0,2048.0,7168.0,0.02208
4.0,2048.0,8192.0,0.02256
4.0,2048.0,10240.0,0.026496
4.0,2048.0,12288.0,0.034112
4.0,2048.0,14336.0,0.036864
4.0,2048.0,16384.0,0.039808
4.0,2880.0,1024.0,0.017856
4.0,2880.0,2048.0,0.017696
4.0,2880.0,2880.0,0.01155
4.0,2880.0,3072.0,0.021184
4.0,2880.0,3584.0,0.021184
4.0,2880.0,4096.0,0.0216
4.0,2880.0,5120.0,0.022912
4.0,2880.0,6144.0,0.024576
4.0,2880.0,7168.0,0.026944
4.0,2880.0,8192.0,0.035008
4.0,2880.0,10240.0,0.038016
4.0,2880.0,12288.0,0.042272
4.0,2880.0,14336.0,0.0448
4.0,2880.0,16384.0,0.048192
4.0,3072.0,1024.0,0.01792
4.0,3072.0,2048.0,0.017728
4.0,3072.0,2880.0,0.020928
4.0,3072.0,3072.0,0.021216
4.0,3072.0,3584.0,0.02144
4.0,3072.0,4096.0,0.021536
4.0,3072.0,5120.0,0.022496
4.0,3072.0,6144.0,0.023584
4.0,3072.0,7168.0,0.031232
4.0,3072.0,8192.0,0.034112
4.0,3072.0,10240.0,0.038144
4.0,3072.0,12288.0,0.042016
4.0,3072.0,14336.0,0.045984
4.0,3072.0,16384.0,0.050336
4.0,3584.0,1024.0,0.017824
4.0,3584.0,2048.0,0.017952
4.0,3584.0,2880.0,0.018848
4.0,3584.0,3072.0,0.018688
4.0,3584.0,3584.0,0.011615
4.0,3584.0,4096.0,0.019552
4.0,3584.0,5120.0,0.021536
4.0,3584.0,6144.0,0.031136
4.0,3584.0,7168.0,0.034368
4.0,3584.0,8192.0,0.036128
4.0,3584.0,10240.0,0.041248
4.0,3584.0,12288.0,0.04752
