gpu,model,held_out,op,bs,seq,n_tokens,kv_cache_len,d,h,kv,ffn,E,k,duration_us
A100,Llama-3.3-70B,True,ffn,16,256,4096,0,8192,64,8,28672,1,1,22751.232
A100,Llama-3.3-70B,True,norm_pre,16,256,4096,0,8192,64,8,28672,1,1,1032.191
A100,Llama-3.3-70B,True,norm_post,16,256,4096,0,8192,64,8,28672,1,1,1018.88
A100,Llama-3.3-70B,True,attn,2,64,128,0,8192,64,8,28672,1,1,461.823
A100,Llama-3.3-70B,True,ffn,2,64,128,0,8192,64,8,28672,1,1,1483.775
A100,Llama-3.3-70B,True,norm_pre,2,64,128,0,8192,64,8,28672,1,1,109.567
A100,Llama-3.3-70B,True,norm_post,2,64,128,0,8192,64,8,28672,1,1,49.152
A100,Llama-3.3-70B,True,attn,4,64,256,0,8192,64,8,28672,1,1,605.184
A100,Llama-3.3-70B,True,ffn,4,64,256,0,8192,64,8,28672,1,1,1709.056
A100,Llama-3.3-70B,True,norm_pre,4,64,256,0,8192,64,8,28672,1,1,110.592
A100,Llama-3.3-70B,True,norm_post,4,64,256,0,8192,64,8,28672,1,1,65.535
A100,Llama-3.3-70B,True,attn,8,64,512,0,8192,64,8,28672,1,1,1004.544
A100,Llama-3.3-70B,True,ffn,8,64,512,0,8192,64,8,28672,1,1,3123.199
A100,Llama-3.3-70B,True,norm_pre,8,64,512,0,8192,64,8,28672,1,1,132.095
A100,Llama-3.3-70B,True,norm_post,8,64,512,0,8192,64,8,28672,1,1,112.64
A100,Qwen-72B,True,attn,1,128,128,0,8192,64,8,29568,1,1,530.431
A100,Qwen-72B,True,ffn,1,128,128,0,8192,64,8,29568,1,1,1645.568
A100,Qwen-72B,True,norm_pre,1,128,128,0,8192,64,8,29568,1,1,113.664
A100,Qwen-72B,True,norm_post,1,128,128,0,8192,64,8,29568,1,1,48.128
A100,Qwen-72B,True,attn,1,256,256,0,8192,64,8,29568,1,1,623.615
A100,Qwen-72B,True,ffn,1,256,256,0,8192,64,8,29568,1,1,1712.128
A100,Qwen-72B,True,norm_pre,1,256,256,0,8192,64,8,29568,1,1,114.688
A100,Qwen-72B,True,norm_post,1,256,256,0,8192,64,8,29568,1,1,65.535
A100,Qwen-72B,True,attn,1,512,512,0,8192,64,8,29568,1,1,1044.479
A100,Qwen-72B,True,ffn,1,512,512,0,8192,64,8,29568,1,1,3151.871
A100,Qwen-72B,True,norm_pre,1,512,512,0,8192,64,8,29568,1,1,132.095
A100,Qwen-72B,True,norm_post,1,512,512,0,8192,64,8,29568,1,1,112.64
A100,Qwen-72B,True,attn,1,768,768,0,8192,64,8,29568,1,1,1324.031
A100,Qwen-72B,True,ffn,1,768,768,0,8192,64,8,29568,1,1,4706.304
A100,Qwen-72B,True,norm_pre,1,768,768,0,8192,64,8,29568,1,1,209.92
A100,Qwen-72B,True,norm_post,1,768,768,0,8192,64,8,29568,1,1,191.487
A100,Qwen-72B,True,attn,1,1024,1024,0,8192,64,8,29568,1,1,1831.936
A100,Qwen-72B,True,ffn,1,1024,1024,0,8192,64,8,29568,1,1,5939.199
A100,Qwen-72B,True,norm_pre,1,1024,1024,0,8192,64,8,29568,1,1,292.863
A100,Qwen-72B,True,norm_post,1,1024,1024,0,8192,64,8,29568,1,1,276.479
A100,Qwen-72B,True,attn,2,128,256,0,8192,64,8,29568,1,1,623.615
A100,Qwen-72B,True,ffn,2,128,256,0,8192,64,8,29568,1,1,1728.512
A100,Qwen-72B,True,norm_pre,2,128,256,0,8192,64,8,29568,1,1,114.688
A100,Qwen-72B,True,norm_post,2,128,256,0,8192,64,8,29568,1,1,66.56
A100,Qwen-72B,True,attn,2,256,512,0,8192,64,8,29568,1,1,1033.215
A100,Qwen-72B,True,ffn,2,256,512,0,8192,64,8,29568,1,1,3153.919
A100,Qwen-72B,True,norm_pre,2,256,512,0,8192,64,8,29568,1,1,132.095
A100,Qwen-72B,True,norm_post,2,256,512,0,8192,64,8,29568,1,1,112.64
A100,Qwen-72B,True,attn,2,512,1024,0,8192,64,8,29568,1,1,1779.711
A100,Qwen-72B,True,ffn,2,512,1024,0,8192,64,8,29568,1,1,5947.391
A100,Qwen-72B,True,norm_pre,2,512,1024,0,8192,64,8,29568,1,1,291.839
A100,Qwen-72B,True,norm_post,2,512,1024,0,8192,64,8,29568,1,1,279.552
A100,Qwen-72B,True,attn,4,128,512,0,8192,64,8,29568,1,1,1035.264
A100,Qwen-72B,True,ffn,4,128,512,0,8192,64,8,29568,1,1,3151.871
A100,Qwen-72B,True,norm_pre,4,128,512,0,8192,64,8,29568,1,1,132.095
A100,Qwen-72B,True,norm_post,4,128,512,0,8192,64,8,29568,1,1,113.664
A100,Qwen-72B,True,attn,4,256,1024,0,8192,64,8,29568,1,1,1770.496
A100,Qwen-72B,True,ffn,4,256,1024,0,8192,64,8,29568,1,1,5941.247
A100,Qwen-72B,True,norm_pre,4,256,1024,0,8192,64,8,29568,1,1,291.839
A100,Qwen-72B,True,norm_post,4,256,1024,0,8192,64,8,29568,1,1,278.528
A100,Qwen-72B,True,attn,4,512,2048,0,8192,64,8,29568,1,1,3175.424
A100,Qwen-72B,True,ffn,4,512,2048,0,8192,64,8,29568,1,1,11804.672
A100,Qwen-72B,True,norm_pre,4,512,2048,0,8192,64,8,29568,1,1,547.839
A100,Qwen-72B,True,norm_post,4,512,2048,0,8192,64,8,29568,1,1,535.552
A100,Qwen-72B,True,attn,8,128,1024,0,8192,64,8,29568,1,1,1745.919
A100,Qwen-72B,True,ffn,8,128,1024,0,8192,64,8,29568,1,1,5939.199
A100,Qwen-72B,True,norm_pre,8,128,1024,0,8192,64,8,29568,1,1,290.816
A100,Qwen-72B,True,norm_post,8,128,1024,0,8192,64,8,29568,1,1,279.552
A100,Qwen-72B,True,attn,8,256,2048,0,8192,64,8,29568,1,1,3161.087
A100,Qwen-72B,True,ffn,8,256,2048,0,8192,64,8,29568,1,1,11795.455
A100,Qwen-72B,True,norm_pre,8,256,2048,0,8192,64,8,29568,1,1,548.864
A100,Qwen-72B,True,norm_post,8,256,2048,0,8192,64,8,29568,1,1,536.575
A100,Qwen-72B,True,attn,8,512,4096,0,8192,64,8,29568,1,1,6362.112
A100,Qwen-72B,True,ffn,8,512,4096,0,8192,64,8,29568,1,1,23482.368
A100,Qwen-72B,True,norm_pre,8,512,4096,0,8192,64,8,29568,1,1,1034.24
A100,Qwen-72B,True,norm_post,8,512,4096,0,8192,64,8,29568,1,1,1021.952
A100,Qwen-72B,True,attn,16,128,2048,0,8192,64,8,29568,1,1,3113.984
A100,Qwen-72B,True,ffn,16,128,2048,0,8192,64,8,29568,1,1,11937.791
A100,Qwen-72B,True,norm_pre,16,128,2048,0,8192,64,8,29568,1,1,548.864
A100,Qwen-72B,True,norm_post,16,128,2048,0,8192,64,8,29568,1,1,536.575
A100,Qwen-72B,True,attn,16,256,4096,0,8192,64,8,29568,1,1,6269.951
A100,Qwen-72B,True,ffn,16,256,4096,0,8192,64,8,29568,1,1,23468.032
A100,Qwen-72B,True,norm_pre,16,256,4096,0,8192,64,8,29568,1,1,1034.24
A100,Qwen-72B,True,norm_post,16,256,4096,0,8192,64,8,29568,1,1,1021.952
A100,Qwen-72B,True,attn,2,64,128,0,8192,64,8,29568,1,1,481.279
A100,Qwen-72B,True,ffn,2,64,128,0,8192,64,8,29568,1,1,1510.4
A100,Qwen-72B,True,norm_pre,2,64,128,0,8192,64,8,29568,1,1,112.64
A100,Qwen-72B,True,norm_post,2,64,128,0,8192,64,8,29568,1,1,49.152
A100,Qwen-72B,True,attn,4,64,256,0,8192,64,8,29568,1,1,628.736
A100,Qwen-72B,True,ffn,4,64,256,0,8192,64,8,29568,1,1,1727.488
A100,Qwen-72B,True,norm_pre,4,64,256,0,8192,64,8,29568,1,1,113.664
A100,Qwen-72B,True,norm_post,4,64,256,0,8192,64,8,29568,1,1,66.56
A100,Qwen-72B,True,attn,8,64,512,0,8192,64,8,29568,1,1,1038.336
A100,Qwen-72B,True,ffn,8,64,512,0,8192,64,8,29568,1,1,3151.871
A100,Qwen-72B,True,norm_pre,8,64,512,0,8192,64,8,29568,1,1,131.071
A100,Qwen-72B,True,norm_post,8,64,512,0,8192,64,8,29568,1,1,113.664
A100,Qwen3.5-9B,False,ffn,1,128,128,0,4096,16,4,12288,1,1,353.28
A100,Qwen3.5-9B,False,norm_pre,1,128,128,0,4096,16,4,12288,1,1,147.456
A100,Qwen3.5-9B,False,norm_post,1,128,128,0,4096,16,4,12288,1,1,142.335
